,0,1,cluster,SMILES_standardized
0,[H]c1c([H])c(C([H])([H])[H])c([H])c([H])c1-n1c(=NC(=O)N([H])c2c([H])c([H])c(OC([H])([H])C([H])([H])N3C([H])([H])C([H])([H])OC([H])([H])C3([H])[H])c3c([H])c([H])c([H])c([H])c23)c([H])c(C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H])n1[H],1,0,Cc1ccc(-n2[nH]c(C(C)(C)C)cc2=NC(=O)Nc2ccc(OCCN3CCOCC3)c3ccccc23)cc1
1,[H]c1nc([H])c(OC([H])([H])c2c([H])c(=NC(=O)N=c3c([H])c(C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H])n([H])n3-c3c([H])c([H])c(C([H])([H])[H])c([H])c3[H])n([H])n2[H])c([H])c1[H],2,0,Cc1ccc(-n2[nH]c(C(C)(C)C)cc2=NC(=O)N=c2cc(COc3cccnc3)[nH][nH]2)cc1
2,[H]Oc1c([H])c2c([H])c(N=c3n([H])c([H])c(C(F)(F)F)c(=NC([H])([H])c4c(N(C([H])([H])[H])S(=O)(=O)C([H])([H])[H])nc([H])c([H])c4[H])n3[H])c([H])c([H])c2n1[H],3,0,CN(c1ncccc1CN=c1[nH]c(=Nc2ccc3[nH]c(O)cc3c2)[nH]cc1C(F)(F)F)S(C)(=O)=O
3,[H]c1nc(C(=O)N([H])C([H])([H])[H])c([H])c(Oc2c([H])c([H])c(N([H])C(=O)N([H])c3c([H])c([H])c(Cl)c(C(F)(F)F)c3[H])c([H])c2[H])c1[H],4,0,CNC(=O)c1cc(Oc2ccc(NC(=O)Nc3ccc(Cl)c(C(F)(F)F)c3)cc2)ccn1
4,[H]c1c([H])c(F)c([H])c(N=c2c3c(n([H])n2[H])-c2c([H])c(OC([H])([H])[H])c(OC([H])([H])[H])c([H])c2C3([H])[H])c1[H],5,1,COc1cc2c(cc1OC)-c1[nH][nH]c(=Nc3cccc(F)c3)c1C2
5,[H]c1nc(Oc2c([H])c([H])c(N([H])C(=O)N([H])c3c([H])c([H])c([H])c(C(F)(F)F)c3[H])c(F)c2[H])c2c(n1)c([H])c([H])n2C([H])([H])[H],6,0,Cn1ccc2ncnc(Oc3ccc(NC(=O)Nc4cccc(C(F)(F)F)c4)c(F)c3)c21
6,[H]c1c([H])c([H])c(C2([H])N=c3c([H])nn([H])c3=Nc3c([H])c([H])c(C#N)c([H])c32)c(F)c1[H],7,1,N#Cc1ccc2c(c1)C(c1ccccc1F)N=c1cn[nH]c1=N2
7,[H]c1c([H])c([H])c(C2([H])N=c3c([H])nn([H])c3=Nc3c([H])c([H])c(N([H])[H])c([H])c32)c(Cl)c1[H],8,0,Nc1ccc2c(c1)C(c1ccccc1Cl)N=c1cn[nH]c1=N2
8,[H]c1c([H])c([H])c(C2([H])N=c3c([H])nn([H])c3=Nc3c([H])c([H])c(N([H])C(=O)C([H])([H])[H])c([H])c32)c(Cl)c1[H],9,0,CC(=O)Nc1ccc2c(c1)C(c1ccccc1Cl)N=c1cn[nH]c1=N2
9,[H]c1c([H])c([H])c(C2([H])N=c3c(C([H])([H])[H])nn([H])c3=Nc3c([H])c([H])c([N+](=O)[O-])c([H])c32)c(Cl)c1[H],10,0,Cc1n[nH]c2c1=NC(c1ccccc1Cl)c1cc([N+](=O)[O-])ccc1N=2
10,[H]N=c1nc(-c2c([H])c(C(=O)N([H])[H])c(-c3c([H])c([H])c([H])c([H])c3[H])n2[H])c([H])c([H])n1[H],11,0,N=c1nc(-c2cc(C(N)=O)c(-c3ccccc3)[nH]2)cc[nH]1
11,[H]c1nc2c(-c3c([H])c4c([H])c([H])c(OC([H])([H])[H])c([H])c4n3[H])n([H])nc2c([H])c1[H],12,1,COc1ccc2cc(-c3[nH]nc4cccnc34)[nH]c2c1
12,[H]OC(C([H])([H])[H])(C([H])([H])[H])C([H])([H])C(=O)N([H])C([H])([H])C([H])([H])n1c([H])c([H])c2c1c(=Nc1c([H])c([H])c(Oc3c([H])c([H])c([H])c(C(F)(F)F)c3[H])c(Cl)c1[H])nc([H])n2[H],13,0,CC(C)(O)CC(=O)NCCn1ccc2[nH]cnc(=Nc3ccc(Oc4cccc(C(F)(F)F)c4)c(Cl)c3)c21
